Time	Type	Amount	Symbol
10/6/2025 22:40	Commission	-0.01008880 USDT	BNBUSDT
10/6/2025 22:39	Commission	-0.03402071 USDT	ETHUSDT
10/6/2025 21:46	Commission	-0.01882839 USDT	ETHUSDT
10/6/2025 21:34	Commission	-0.03539404 USDT	HYPEUSDT
10/6/2025 21:33	Commission	-0.00443616 USDT	HYPEUSDT
10/6/2025 21:33	Commission	-0.01330848 USDT	HYPEUSDT
10/6/2025 21:33	Commission	-0.00203266 USDT	HYPEUSDT
10/6/2025 21:29	Commission	-0.01090626 USDT	HYPEUSDT
10/6/2025 21:28	Realized PNL	-0.58750000 USDT	ETHUSDT
10/6/2025 21:28	Commission	-0.00938000 USDT	ETHUSDT
10/6/2025 21:28	Realized PNL	-20.88500000 USDT	BNBUSDT
10/6/2025 21:28	Commission	-0.60289680 USDT	BNBUSDT
10/6/2025 17:00	Funding fee	0.08914724 USDT	BNBUSDT
10/6/2025 17:00	Funding fee	0.00234221 USDT	ETHUSDT
10/6/2025 16:51	Realized PNL	-0.22176000 USDT	HYPEUSDT
10/6/2025 16:51	Commission	-0.00681912 USDT	HYPEUSDT
10/6/2025 16:51	Realized PNL	-1.04104000 USDT	HYPEUSDT
10/6/2025 16:51	Commission	-0.03201198 USDT	HYPEUSDT
10/6/2025 16:51	Realized PNL	-1.11496000 USDT	HYPEUSDT
10/6/2025 16:51	Commission	-0.03428502 USDT	HYPEUSDT
10/6/2025 16:51	Realized PNL	-8.86215000 USDT	HYPEUSDT
10/6/2025 16:51	Commission	-0.27295998 USDT	HYPEUSDT
10/6/2025 16:51	Realized PNL	-3.88642000 USDT	HYPEUSDT
10/6/2025 16:51	Commission	-0.12009988 USDT	HYPEUSDT
10/6/2025 16:51	Realized PNL	-0.04904000 USDT	HYPEUSDT
10/6/2025 16:51	Commission	-0.00151545 USDT	HYPEUSDT
10/6/2025 16:13	Commission	-0.15789419 USDT	HYPEUSDT
10/6/2025 16:13	Commission	-0.01974171 USDT	HYPEUSDT
